기준연도,대표문의,사이트,서비스URL,서비스명,서비스아이디,서비스요약,소관부처명,소관조직명,최종수정일
2025,한국산림복지진흥원1544-3228,한국산림복지진흥원산림복지서비스이용권,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000946&wlfareInfoReldBztpCd=01,산림복지서비스이용권,WLF00000946,사회·경제적 여건으로 산림복지 혜택을 받지 못하는 소외계층에게 산림복지서비스 체험 기회를 제공하여 삶의 질을 높일 수 있도록 돕습니다.,산림청,산림복지교육과,2025-03-06
2025,학교 밖 청소년지원센터 홈페이지,학교 밖 청소년지원센터 홈페이지www.kdream.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000948&wlfareInfoReldBztpCd=01,학교 밖 청소년 지원,WLF00000948,"학교 밖 청소년의 개인적 수요와 특성을 고려한 상담, 교육, 직업체험 및 취업, 자립지원 프로그램을 제공하여 건강한 사회구성원으로 성장하도록 지원합니다.",여성가족부,학교밖청소년지원과,2025-05-07
2025,보훈상담센터1577-0606,보훈상담센터www.mpva.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000968&wlfareInfoReldBztpCd=01,위탁병원진료,WLF00000968,국가유공자와 그 유족 등이 건강한 생활을 유지하고  필요한 진료를 받을 수 있도록 지원합니다.,국가보훈부,보훈의료서비스기획과,2025-03-21
2025,교육부02-6222-6060 한국교육학술정보원 (0079에듀콜)1544-0079,e-유치원http://www.childschool.go.kr 교육부http://www.moe.go.kr 복지로http://www.bokjiro.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000969&wlfareInfoReldBztpCd=01,유아학비 지원(3~5세 누리과정 지원),WLF00000969,국공사립유치원에 재원하는 유아를 대상으로 보호자의 소득수준에 관계없이 전 계층에 유아학비를 지원하여 실질적 교육기회 보장을 지원합니다.,교육부,영유아재정과,2025-06-23
2025,(재)여성기업종합지원센터02-369-0935,(재)여성기업종합지원센터www.wbiz.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000975&wlfareInfoReldBztpCd=01,여성창업액셀러레이팅,WLF00000975,여성창업경진대회 운영을 통해 여성창업을 활성화하고 여성기업의 경쟁력 강화 및 사업화를 지원합니다.,중소벤처기업부,중소기업제도과,2025-03-06
2025,보훈상담센터1577-0606,보훈상담센터www.mpva.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00000998&wlfareInfoReldBztpCd=01,보훈병원 진료,WLF00000998,국가보훈대상자가 건강한 생활을 유지할 수 있도록 보훈병원 진료비의 일부 또는 전액을 국가가 지원합니다.,국가보훈부,보훈의료정책과,2025-03-10
2025,남북하나재단02-3215-5792 북한이탈주민 종합상담 콜센터1577-6635,남북하나재단https://www.koreahana.or.kr 북한이탈주민 포털https://hanaportal.unikorea.go.kr 통일부http://www.unikorea.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001020&wlfareInfoReldBztpCd=01,북한이탈주민 자산형성지원제도(미래행복통장),WLF00001020,북한이탈주민이 우리 사회에 안정적으로 정착할 수 있는 자산을 형성하도록 지원합니다.,통일부,자립지원과,2025-04-15
2025,보건복지상담센터129,보건복지상담센터http://www.129.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001021&wlfareInfoReldBztpCd=01,장애아동입양 양육보조금,WLF00001021,장애 아동을 입양한 가정에 양육보조금을 지원하여 장애아동의 국내입양 활성화 및 건전육성을 도모합니다.,보건복지부,아동정책과,2025-05-07
2025,보훈상담센터1577-0606,국가보훈부http://www.mpva.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001059&wlfareInfoReldBztpCd=01,간호수당,WLF00001059,"국가유공자, 보훈보상대상자 생활 안정과 복지 향상을 위하여 간호수당을 지원합니다.",국가보훈부,보상정책과,2025-03-28
2025,한국장학재단 상담센터1599-2290,한국장학재단 상담센터http://www.kosaf.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001060&wlfareInfoReldBztpCd=01,대학생 근로장학금 지원,WLF00001060,저소득층 대학생에게 근로 기회를 제공하고 그에 따른 대가(장학금)를 지급하여 안정적인 학업 여건을 조성합니다.,교육부,청년장학지원과,2025-02-27
2025,사회서비스전자바우처1566-3232,사회서비스전자바우처https://www.socialservice.or.kr:444/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001061&wlfareInfoReldBztpCd=01,지역사회서비스 투자사업,WLF00001061,지역의 특성과 수요에 부합하는 사회서비스를 제공하여 지역복지를 확충하고 서비스 제공 일자리를 창출할 수 있도록 지원합니다.,보건복지부,사회서비스사업과,2025-05-26
2025,한국지능정보사회진흥원1588-2670,한국지능정보사회진흥원www.at4u.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001062&wlfareInfoReldBztpCd=01,정보통신보조기기 보급,WLF00001062,장애인의 기능적 한계를 보완개선하여 정보화를 통한 역량을 증진할 수 있도록 정보통신보조기기 보급을 지원합니다.,과학기술정보통신부,디지털포용정책팀,2025-03-18
2025,주택도시기금1566-9009,주택도시기금nhuf.molit.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001063&wlfareInfoReldBztpCd=01,주거안정 월세대출,WLF00001063,월세부담이 큰 사회초년생 등의 주택월세자금 융자를 통해 주거안정을 지원합니다.,국토교통부,주택기금과,2025-04-22
2025,국가보훈부 보훈상담센터1577-0606,국가보훈부http://www.mpva.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001064&wlfareInfoReldBztpCd=01,6.25자녀수당,WLF00001064,6.25 전쟁 중 전사하거나 순직한 전몰군경 혹은 순직군경 자녀의 생활안정과 복지향상을 위하여 수당을 지원합니다.,국가보훈부,보상정책과,2025-03-28
2025,국가보훈부 보훈상담센터1577-0606,국가보훈부http://www.mpva.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001065&wlfareInfoReldBztpCd=01,고엽제후유의증수당,WLF00001065,고엽제후유의증환자에게 수당을 지급하여 생활안정과 복지향상을 도모합니다.,국가보훈부,보상정책과,2025-03-28
2025,보훈상담센터1577-0606,국가보훈부http://www.mpva.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001066&wlfareInfoReldBztpCd=01,참전명예수당,WLF00001066,참전유공자에게 수당을 지급하여 생활안정과 복지향상을 도모합니다.,국가보훈부,보상정책과,2025-03-28
2025,교육부 민원 전화 상담실02-6222-6060,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001067&wlfareInfoReldBztpCd=01,장애아보육료지원,WLF00001067,어린이집 이용 장애아동에 대한 보육료 지원을 통해 부모의 자녀양육 부담경감 및 원활한 경제활동을 지원합니다.,교육부,영유아재정과,2025-03-24
2025,여성가족부02-2100-6000 한부모가족상담전화1577-4206,여성가족부http://www.mogef.go.kr/index.jsp,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001068&wlfareInfoReldBztpCd=01,한부모가족 아동양육비 지원,WLF00001068,저소득 한부모가족 및 조손가족이 가족의 기능을 유지하고 안정된 생활을 할 수 있도록 아동 양육비를 지원합니다.,여성가족부,가족지원과,2025-05-07
2025,근로복지공단 고객센터1588-0075,근로복지공단https://www.comwel.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001069&wlfareInfoReldBztpCd=01,산재근로자 합병증 등 예방관리,WLF00001069,산재요양 종결 후 상병 및 장해의 특성으로 인하여 발생하는 합병증 등 예방관리를 지원합니다.,고용노동부,산재보상정책과,2025-04-10
2025,한국척수장애인협회02-786-8483,한국척수장애인협회http://www.kscia.org,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001070&wlfareInfoReldBztpCd=01,척수장애인재활훈련지원,WLF00001070,"척수장애인에게 사회·심리 재활, 동료 상담가 파견, 지역사회 복귀훈련 등 재활프로그램을 지원합니다.",보건복지부,장애인정책과,2025-04-15
2025,한국장학재단 상담센터1599-2290,한국장학재단 상담센터http://www.kosaf.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001071&wlfareInfoReldBztpCd=01,우수학생 국가장학금 지원,WLF00001071,"이공계 우수 학생을 조기 발굴, 학비를 지원하여 이공계 진학 유도 및 미래의 핵심인재로 육성을 지원합니다.",과학기술정보통신부,미래인재양성과,2025-03-20
2025,(사)한국성폭력위기센터 02-883-9285 대한법률구조공단국번없이 132 대한변협법률구조재단02-3476-6515 한국가정법률상담소1644-7077,(사)한국성폭력위기센터 www.rape119.or.kr 대한법률구조공단http://www.klac.or.kr/ 대한변협법률구조재단http://www.legalaid.or.kr/index2.php 한국가정법률상담소http://www.lawhome.or.kr/law1/index.asp,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001072&wlfareInfoReldBztpCd=01,가정폭력·성폭력 등 폭력 피해자 무료법률지원,WLF00001072,"가정폭력 및 성폭력, 스토킹, 교제폭력 피해자 대상 무료법률지원을 통해 권익을 보호합니다.",여성가족부,가정폭력스토킹방지과,2025-03-25
2025,보훈상담센터1577-0606 제대군인지원센터1666-9279,국가보훈부http://www.mpva.go.kr/ 제대군인지원센터http://www.vnet.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001073&wlfareInfoReldBztpCd=01,장기복무제대군인수업료지원,WLF00001073,장기복무 제대군인에 대한 교육비 지원으로 생활안정을 도모합니다.,국가보훈부,제대군인일자리과,2025-02-27
2025,보훈상담센터1577-0606,국가보훈부http://www.mpva.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001074&wlfareInfoReldBztpCd=01,재해보상금,WLF00001074,"의무경찰, 의무소방대원, 교정시설 경비교도대원이 복무중 사망하거나 상이를 입고 퇴직한 경우 재해보상금을 지급하여 국가의 책임을 강화합니다.",국가보훈부,보상정책과,2025-04-14
2025,국립특수교육원041-537-1485 에듀에이블041-537-1485,국립특수교육원http://www.nise.go.kr 에듀에이블http://eduable.net,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001075&wlfareInfoReldBztpCd=01,장애학생 정보격차 해소 지원,WLF00001075,특수교육대상자를 위한 교수-학습 지원 콘텐츠 개발 및 사이트를 운영하여 정보격차 해소를 지원합니다.,교육부,디지털교육지원과,2025-03-06
2025,기업은행 고객센터1566-2566 서민금융콜센터1397 신한은행 고객센터1599-8000 전북은행 고객 센터1588-4477,서민금융콜센터www.kinfa.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001076&wlfareInfoReldBztpCd=01,서민금융 활성화 지원(햇살론youth 보증사업),WLF00001076,"금융취약계층인 대학생, 청년의 금융애로를 해소하여 학업 및 취업에 전념, 향후 제도권 금융으로 안착할 수 있도록 지원합니다.",금융위원회,서민금융과,2025-03-10
2025,1366센터1366,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001077&wlfareInfoReldBztpCd=01,가정폭력상담소 운영지원,WLF00001077,"가정폭력·스토킹·데이트폭력의 피해자를 상담하고 임시보호하며, 의료기관, 법률기관, 피해자 보호시설로 인도합니다.",여성가족부,가정폭력스토킹방지과,2025-03-27
2025,한국주택금융공사1688-8114,한국주택금융공사http://www.hf.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001079&wlfareInfoReldBztpCd=01,주거안정 월세대출 보증,WLF00001079,자력은 부족하지만 장래 소득발생이 예상되고 자활의지가 있는 저소득 계층의 주거안정을 위해 월세대출을 보증합니다.,금융위원회,금융정책과,2025-03-27
2025,근로복지공단 고객센터1588-0075,근로복지공단https://www.comwel.or.kr 근로복지넷https://welfare.comwel.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001080&wlfareInfoReldBztpCd=01,산재근로자 생활안정자금융자,WLF00001080,산재노동자에게 생활안정 자금 융자를 통해 필요한 자금을 신속하게 지원하고 안정된 생활을 유지하도록 도와드립니다.,고용노동부,산재보상정책과,2025-03-31
2025,한국지능정보사회진흥원1800-0096,한국지능정보사회진흥원www.디지털배움터.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001083&wlfareInfoReldBztpCd=01,디지털배움터 운영,WLF00001083,디지털 경제·사회 활동에 누구나 참여할 수 있도록 전 국민을 대상으로 디지털 역량강화 교육을 제공합니다.,과학기술정보통신부,디지털포용정책팀,2025-03-18
2025,1366센터1366,한국여성인권진흥원https://women1366.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001084&wlfareInfoReldBztpCd=01,여성긴급전화 1366센터 운영 지원,WLF00001084,"가정폭력·성폭력·스토킹 등 폭력 피해자에 대해 신고접수 및 긴급상담, 관련 기관 및 시설과의 연계, 피해자에 대해 긴급구조를 지원합니다.",여성가족부,가정폭력스토킹방지과,2025-05-26
2025,근로복지공단 고객센터1588-0075,근로복지공단 고객센터https://www.comwel.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001085&wlfareInfoReldBztpCd=01,산재근로자원직장복귀지원,WLF00001085,산업재해로 장해를 입은 근로자가 기존 직장으로 복귀할 수 있도록 지원합니다.,고용노동부,산재보상정책과,2025-04-10
2025,국민건강보험공단 장기요양보험1577-1000,국민건강보험공단 장기요양보험www.longtermcare.or.kr 국민건강보험공단http://www.nhis.or.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001086&wlfareInfoReldBztpCd=01,특별현금급여(가족요양비),WLF00001086,가족등으로부터 방문요양에 상당한 장기요양급여를 받은 때 수급자에게 특별현금급여를 지급합니다.,보건복지부,요양보험제도과,2025-05-07
2025,보건복지상담센터129 사회서비스전자바우처1566-3232,보건복지부 콜센터http://www.129.go.kr 사회서비스전자바우처https://www.socialservice.or.kr:444/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001087&wlfareInfoReldBztpCd=01,가사·간병 방문 지원사업,WLF00001087,일상생활이 어려운 저소득층 가정에 간병·가사 서비스를 지원하여  취약계층의 생활 안정을 도모하고  가사·간병 방문 제공인력의 사회적 일자리를 창출합니다.,보건복지부,사회서비스사업과,2025-03-31
2025,보건복지부 콜센터129,공공보건포털 e보건소https://www.e-health.go.kr 보건복지부 콜센터http://www.129.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001088&wlfareInfoReldBztpCd=01,고위험 임산부 의료비 지원,WLF00001088,"고위험 임신의 적정 치료와 관리에 필요한 진료비를 지원하여 경제적 부담을 줄이고, 건강한 출산을 보장합니다.",보건복지부,출산정책과,2025-02-26
2025,보건복지상담센터129 한국장학재단 고객센터1599-2000,보건복지부http://www.mohw.go.kr 한국장학재단 고객센터www.kosaf.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001089&wlfareInfoReldBztpCd=01,교육급여(맞춤형 급여),WLF00001089,생계유지 능력이 없거나 생활이 어려운 자에게 필요한 교육급여를 지급하여 빈곤층 교육비 부담을 경감하고 실질적인 교육기회를 보장합니다.,교육부,학생맞춤통합지원과,2025-05-07
2025,한국장애인고용공단1588-1519,한국장애인고용공단http://www.kead.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001090&wlfareInfoReldBztpCd=01,장애인고용장려금지급,WLF00001090,장애인 의무고용률을 초과하여 장애인을 고용하는 사업주에게 고용장려금을 지급하여 장애인 근로자의 직업생활 안정을 도모합니다.,고용노동부,장애인고용과,2025-04-15
2025,국가보훈부 상담센터1577-0606,국가보훈부 상담센터www.mpva.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001091&wlfareInfoReldBztpCd=01,국가유공자의료급여증발급,WLF00001091,저소득 국가유공자와 가족들의 의료비 부담 경감을 위해 국가유공자 의료급여증을 발급합니다.,국가보훈부,보훈의료정책과,2025-03-21
2025,근로복지공단 고객센터1588-0075,고용산재보험 토탈서비스http://total.kcomwel.or.kr 근로복지공단https://www.comwel.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001092&wlfareInfoReldBztpCd=01,요양급여(보조기)-산재보험급여,WLF00001092,근로자의 업무상 사유에 의한 부상 및 질병에 대한 재활보조기구 비용(요양급여)을 지급하여 근로자의 재활 및 사회 복귀를 촉진합니다.,고용노동부,산재보상정책과,2025-04-10
2025,보건복지부 콜센터129 한국사회보장정보원 사례관리정보부02-6360-5497,보건복지부 콜센터http://www.129.go.kr 한국사회보장정보원 사례관리정보부biz.dcare.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001093&wlfareInfoReldBztpCd=01,독거노인·장애인 응급안전안심서비스,WLF00001093,안전의 사각지대에 있는 노인과 장애인이 응급상황을 인지하고 응급상황에 대처할 수 있도록 안전대책을 마련하여 지역사회 예방적 돌봄을 지원합니다.,보건복지부,노인정책과,2025-02-27
2025,교육부 민원 전화 상담실02-6222-6060,,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001094&wlfareInfoReldBztpCd=01,"어린이집지원(교사근무환경개선비,교사겸직원장지원비)",WLF00001094,어린이집 보육교사와 교사를 겸직하는 원장의 근로여건개선을 위해 근무환경 개선비를 지원합니다.,교육부,영유아교원지원과,2025-03-10
2025,한국장학재단 고객센터1599-2000,한국장학재단 고객센터www.kosaf.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001096&wlfareInfoReldBztpCd=01,농촌출신대학생학자금융자,WLF00001096,농어촌출신 대학생에게 등록금 전액을 무이자로 대출해줌으로써 농어업인 자녀에게 균등한 교육기회를 제공합니다.,농림축산식품부,농촌사회서비스과,2025-03-21
2025,국민연금공단1355,국민연금공단http://www.nps.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001097&wlfareInfoReldBztpCd=01,농업인연금보험료지원,WLF00001097,"농산물 수입개방 확대로 인한 농업인의 경제적 부담을 경감하기 위해 연금 보험료 일부를 지원하여 안정적인 노후생활을 도모하고, 노후소득을 보장합니다.",농림축산식품부,농촌사회서비스과,2025-03-21
2025,한국건강가정진흥원 가족센터협력부02-3479-7716,다문화가족지원포털 다누리http://www.liveinkorea.kr/ 한국건강가정진흥원www.familynet.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001098&wlfareInfoReldBztpCd=01,온가족보듬사업,WLF00001098,"취약가족 및 긴급·위기가족이 가족 기능을 회복하고 정서적, 경제적 자립역량을 강화할 수 있도록 합니다.",여성가족부,가족정책과,2025-05-26
2025,국민건강보험공단 상담센터1577-1000,국민건강보험공단http://www.nhis.or.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001099&wlfareInfoReldBztpCd=01,농업인건강보험료지원,WLF00001099,의료 이용 접근성이 낮은 농어촌 거주 농업인에 대해 건강보험료 일부를 지원하여 생활안정과 복지증진을 도모합니다.,농림축산식품부,농촌사회서비스과,2025-03-21
2025,문화체육관광부 도서관정책기획단044-203-2619 한국도서관협회02-535-4480,한국도서관협회www.kla.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001100&wlfareInfoReldBztpCd=01,큰글자책 보급 지원,WLF00001100,"공공도서관에 큰글자책을 보급하여 노년층, 저시력자 등 독서 취약계층의 도서 접근성을 강화하고 장서개발을 확대합니다.",문화체육관광부,도서관정책기획단,2025-02-20
2025,여성긴급전화1366,여성긴급전화www.women1366.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001101&wlfareInfoReldBztpCd=01,폭력피해여성 주거지원 사업,WLF00001101,"가정폭력, 성폭력 등 폭력피해자들의 자립을 지원하고 사회 적응 여건을 조성하고자, 폭력 피해여성과 그 가족들이 공동으로 생활할 수 있는 주거 공간을 제공합니다.",여성가족부,가정폭력스토킹방지과,2025-06-13
2025,"강원특별자치도교육청(교육비, 교육정보화)033-259-0883 경기도교육청 교육정보화 담당자031-820-0554 경남교육청055-210-5179 경북교육청(고교학비,교육급여)054-805-3806 광주광역시교육청(교육급여,교육비)062-380-4010~4011 교육비 원클릭 신청 시스템 상담센터1544-9654 대구광역시교육청053-231-0752 대전광역시교육청042-616-8802~3,5 부산시교육청 교육정보화담당051-860-0764 서울특별시교육청02-1396 세종시교육청044-320-3313 울산광역시교육청1588-9496 인천광역시교육청032-420-8445 전남교육청061-260-0076 전북교육청(교육비,교육정보화)063-239-3364 제주교육청(교육급여,고교학비)064-710-0604 충남교육청(교육정보화)041-640-6933 충북교육청(교육정보화)043-290-2888",교육비 원클릭 신청 시스템 상담센터https://oneclick.moe.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001103&wlfareInfoReldBztpCd=01,초중고 교육비 지원사업(고교학비 지원),WLF00001103,형편이 어려운 저소득층 가정의 자녀에게 교육의 기회를  보장하기 위해서 학비를 지원합니다.,교육부,학생맞춤통합지원과,2025-06-05
2025,교육비 원클릭 신청 시스템 상담센터1544-9654,교육비 원클릭 신청 시스템 상담센터https://oneclick.moe.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001104&wlfareInfoReldBztpCd=01,한부모가족자녀 교육비 지원,WLF00001104,한부모가족보호대상자에게 고교비(학비)를 지원합니다.,교육부,학생맞춤통합지원과,2025-03-25
2025,각 지방자치단체각 기관 120 센터 여성긴급전화1366,여성긴급전화www.women1366.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001105&wlfareInfoReldBztpCd=01,가정폭력피해자 치료회복 프로그램 및 의료비지원,WLF00001105,"가정폭력피해자 및 동반가족의 정신적, 육체적 회복을 위한 프로그램을 제공하고 의료비를 지원합니다.",여성가족부,가정폭력스토킹방지과,2025-05-26
2025,여성가족부02-2100-6000,여성가족부http://www.mogef.go.kr/index.jsp,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001106&wlfareInfoReldBztpCd=01,일본군'위안부' 피해자 생활안정지원사업,WLF00001106,일제에 의해 강제로 동원되어 위안부로서의 생활을 강요당한 피해자를 보호·지원합니다.,여성가족부,권익정책과,2025-03-12
2025,보건복지상담센터129,보건복지상담센터http://www.129.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001107&wlfareInfoReldBztpCd=01,지역아동센터 지원,WLF00001107,"방과후 돌봄이 필요한 지역사회 아동의 건전육성을 위하여 보호·교육, 건전한 놀이와 오락의 제공, 보호자와 지역사회의 연계 등 종합적인 복지서비스를 제공합니다.",보건복지부,아동보호자립과,2025-04-14
2025,한국주택금융공사1688-8114,한국주택금융공사http://www.hf.go.kr/,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001108&wlfareInfoReldBztpCd=01,주택담보노후연금보증,WLF00001108,노후생활에 어려움을 겪는 노인에 대해 보유하고 있는 주택을 담보로 매월 일정금액의 대출금을 연금형식으로 지급하여 안정적인 노후 생활을 지원합니다.,금융위원회,금융정책과,2025-03-28
2025,가족상담전화1577-4206 여성가족부02-2100-6000,여성가족부http://www.mogef.go.kr/index.jsp,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001109&wlfareInfoReldBztpCd=01,청소년한부모 아동양육 및 자립지원,WLF00001109,청소년한부모 가정의 자녀 양육환경을 개선하고 자립기반 마련을 지원합니다.,여성가족부,가족지원과,2025-05-07
2025,한국문화원연합회 지역문화사업팀02-704-4338,한국문화원연합회 지역문화사업팀https://senior.kccf.or.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001111&wlfareInfoReldBztpCd=01,취약지역 어르신 문화누림,WLF00001111,"취약지역 노인의 문화예술 접근성 및 향유기회 확대를 위한 맞춤형 문화활동 지원을 통해 연령, 지역간 문화격차를 해소합니다.",문화체육관광부,지역문화정책과,2025-03-21
2025,보건복지부상담센터129,보건복지부상담센터http://www.129.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001112&wlfareInfoReldBztpCd=01,긴급복지 교육지원,WLF00001112,"생계곤란 등의 위기상황에 처하여 도움이 필요한 긴급복지(생계지원, 주거지원, 사회복지시설 이용지원)를 받는 대상자 중 부가지원인 교육지원이 필요하다고 인정되는 초?중?고등학교 입학생 또는 재학생을 지원합니다.",보건복지부,기초생활보장과,2025-05-26
2025,교육부02-6222-6060,교육부http://www.moe.go.kr,https://www.bokjiro.go.kr/ssis-tbu/twataa/wlfareInfo/moveTWAT52011M.do?wlfareInfoId=WLF00001113&wlfareInfoReldBztpCd=01,(특수교육대상자) 치료지원서비스,WLF00001113,특수교육대상자의 교육을 효율적으로 지원하기 위해 관련 서비스를 제공합니다.,교육부,특수교육정책과,2025-04-15
